Time,Mic,7A,7V,8A,8V,NA,7A,7V,8A,8V,NA,7A,7V,8A,8V,NA,7A,7V,8A,8V,NA
s,Run LEQ,g RMS,g RMS,g RMS,g RMS, g RMS,g Peak,g Peak,g Peak,g Peak, g Peak,mm/s RMS,mm/s RMS,mm/s RMS,mm/s RMS, mm/s RMS,mm/s Peak,mm/s Peak,mm/s Peak,mm/s Peak, mm/s Peak
3675747625,106.678,0.565,0.082,0.999,0.821,0.082,2.445,0.176,4.146,3.357,0.174,8.892,7.489,11.685,5.868,8.365,16.881,17.213,21.07,13.124,18.643
3675747626,106.572,0.529,0.083,0.983,0.797,0.081,1.929,0.188,3.875,3.268,0.178,9.154,7.773,11.655,5.817,7.493,17.085,18.719,20.999,12.95,19.437
3675747627,106.508,0.523,0.083,0.986,0.809,0.081,2.038,0.173,4.473,3.362,0.172,9.285,8.241,11.659,5.877,8.059,16.822,19.199,20.163,12.928,18.891
3675747628,106.488,0.526,0.083,0.962,0.816,0.081,1.997,0.173,3.774,3.766,0.181,9.097,7.333,11.911,5.905,7.331,17.172,20.034,20.764,13.123,17.867
3675747629,106.488,0.521,0.082,0.935,0.788,0.083,1.962,0.173,4.048,3.316,0.183,9.115,8.149,11.813,5.909,8.792,17.942,19.072,21.242,13.581,21.196
3675747630,106.729,0.875,0.082,1.015,0.911,0.081,5.041,0.17,4.314,4.05,0.176,8.932,6.995,11.989,6.171,6.762,17.858,17.87,21.51,17.627,17.972
3675747631,106.956,0.772,0.082,1.032,0.867,0.081,4.864,0.17,4.004,4.175,0.178,8.764,7.995,12.386,6.157,7.872,18.712,17.581,21.756,13.921,17.548
3675747632,105.899,0.82,0.083,1.013,0.867,0.082,4.823,0.178,4.042,3.757,0.174,8.311,7.23,12.221,6.07,7.368,16.856,18.894,21.711,14.112,18.027
3675747633,107,0.751,0.084,1.044,0.875,0.081,4.307,0.179,3.911,3.693,0.173,8.803,8.073,12.269,6.148,8.023,18.636,19.185,21.56,13.684,18.284
3675747634,106.141,0.588,0.082,0.994,0.82,0.082,2.815,0.175,3.904,3.353,0.175,8.601,7.017,12.033,6.04,7.575,16.228,18.309,20.614,14.845,18.915
3675747635,107.234,0.992,0.084,1.088,0.936,0.081,4.592,0.177,4.362,3.764,0.171,8.887,8.356,11.781,5.963,7.82,22.258,18.765,21.29,14.506,18.177
3675747636,106.944,0.636,0.082,0.985,0.816,0.082,4.049,0.191,4.278,4.035,0.175,8.672,7.279,12.056,6.009,7.57,17.135,19.671,21.76,13.515,18.581
3675747637,106.569,0.677,0.084,1.012,0.828,0.081,3.777,0.188,4.871,3.543,0.17,8.37,8.096,11.973,5.907,7.966,16.663,18.817,20.935,12.504,18.781
3675747638,107.316,0.88,0.082,1.079,0.916,0.081,5.479,0.186,4.128,3.708,0.172,8.699,6.53,11.919,6.124,7.43,19.347,16.411,22.154,15.553,18.608
3675747639,106.152,0.583,0.082,0.989,0.801,0.081,3.675,0.174,4.199,3.28,0.182,8.397,8.238,11.866,5.946,8.14,15.603,19.493,21.085,13.944,18.681
3675747640,106.562,0.624,0.082,0.956,0.821,0.082,2.805,0.191,3.814,3.383,0.184,8.571,7.246,11.728,5.855,7.45,16.511,17.161,20.978,13.535,18.605
3675747641,106.734,0.584,0.083,0.963,0.8,0.08,2.538,0.172,3.912,3.73,0.169,8.695,7.884,11.498,5.717,8.419,15.681,18.66,20.852,12.786,20.668
3675747642,106.763,0.714,0.083,1.02,0.874,0.082,3.3,0.176,3.822,4.056,0.176,8.473,7.436,11.711,6.009,6.936,16.367,19.245,20.06,14.475,19.855
3675747643,106.598,0.904,0.084,1.029,0.876,0.081,4.97,0.183,4.619,3.729,0.17,8.667,9.084,11.711,5.835,6.962,18.8,20.152,21.288,12.782,18.193
3675747644,106.978,0.636,0.081,0.991,0.837,0.082,2.958,0.175,3.925,3.388,0.18,8.543,6.996,12.144,6,7.649,16.95,16.322,21.299,14.059,19.183
3675747645,106.163,0.637,0.084,0.996,0.818,0.081,3.338,0.172,3.938,3.557,0.182,8.432,8.48,11.934,5.9,7.219,16.689,18.794,21.757,13.261,16.905
3675747646,106.576,0.581,0.082,0.951,0.802,0.082,2.161,0.171,3.813,3.594,0.182,8.84,7.163,11.512,5.84,8.019,16.69,19.569,20.238,14.114,19.153
3675747647,106.496,0.532,0.083,0.937,0.776,0.08,2.099,0.176,4.166,3.158,0.175,9.006,7.806,11.456,5.694,7.926,16.281,18.495,20.494,11.909,20.648
3675747648,106.536,0.521,0.083,0.985,0.799,0.082,1.939,0.179,3.859,3.014,0.172,9.215,7.152,11.709,5.946,7.42,16.323,16.458,20.594,13.609,20.051
