Time,Mic,7A,7V,8A,8V,NA,7A,7V,8A,8V,NA,7A,7V,8A,8V,NA,7A,7V,8A,8V,NA
s,Run LEQ,g RMS,g RMS,g RMS,g RMS, g RMS,g Peak,g Peak,g Peak,g Peak, g Peak,mm/s RMS,mm/s RMS,mm/s RMS,mm/s RMS, mm/s RMS,mm/s Peak,mm/s Peak,mm/s Peak,mm/s Peak, mm/s Peak
3675748211,106.741,0.511,0.083,0.936,0.805,0.082,1.899,0.192,4.281,2.97,0.17,9.076,7.188,11.611,5.797,6.958,16.056,18.055,20.019,12.469,17.685
3675748212,106.773,0.501,0.083,0.965,0.808,0.081,1.822,0.179,4.181,3.567,0.175,9.154,7.961,11.535,5.773,8.028,16.86,18.677,21.211,13.298,18.394
3675748213,106.642,0.503,0.083,0.995,0.797,0.081,1.907,0.191,4.581,3.674,0.173,9.22,7.325,11.633,5.843,7.043,16.827,19.885,21.933,12.638,18.148
3675748214,107.012,0.498,0.083,0.954,0.806,0.081,2.047,0.179,3.7,2.981,0.171,9.145,8.465,11.768,5.914,8.681,15.811,18.832,20.8,13.366,22.327
3675748215,106.71,0.5,0.082,0.996,0.831,0.082,2.014,0.177,3.719,3.535,0.173,9.177,6.738,11.643,5.884,7.802,16.282,15.652,21.048,13.367,18.316
3675748216,106.517,0.498,0.082,0.978,0.822,0.081,1.806,0.172,4.659,3.292,0.183,9.03,7.832,11.788,5.84,8.244,17.502,18.305,20.455,12.47,19.961
3675748217,106.777,0.49,0.082,0.995,0.814,0.081,1.591,0.176,3.95,3.81,0.169,9.027,6.924,11.707,5.972,7.478,16.06,16.677,19.81,13.257,19.062
3675748218,106.731,0.495,0.083,0.998,0.805,0.081,1.843,0.175,4.299,3.634,0.178,9.077,7.931,11.658,5.751,8.238,16.022,18.131,20.298,12.372,18.181
3675748219,106.989,0.494,0.082,0.978,0.818,0.081,1.718,0.172,4.064,3.065,0.17,9.061,6.572,11.726,5.856,7.173,16.217,17.368,20.278,13.248,19.566
3675748220,106.633,0.513,0.083,0.96,0.81,0.081,1.95,0.173,4.68,3.292,0.173,9.17,8.301,11.584,5.821,7.781,16.569,19.441,20.463,13.358,18.061
3675748221,106.874,0.514,0.083,0.933,0.789,0.082,1.88,0.182,3.704,3.041,0.169,9.26,6.623,11.654,5.856,7.781,16.971,17.039,20.074,14.581,21.495
3675748222,106.679,0.507,0.083,0.952,0.807,0.08,1.874,0.171,4.358,3.437,0.173,9.181,8.546,11.627,5.769,7.284,15.928,18.512,20.079,11.98,17.745
3675748223,106.574,0.504,0.082,0.968,0.779,0.082,1.946,0.175,3.826,2.956,0.182,8.909,7.38,11.712,5.801,7.025,16.955,17.614,20.425,12.277,18.028
3675748224,106.757,0.504,0.085,0.964,0.781,0.081,2.178,0.175,3.643,2.864,0.173,9.188,8.931,11.656,5.789,7.605,16.961,20.648,20.299,13.353,16.581
3675748225,106.674,0.502,0.082,0.965,0.8,0.081,1.864,0.167,3.829,2.974,0.175,9.171,6.969,11.672,5.794,7.823,17.06,18.53,20.436,12.884,20.103
3675748226,106.707,0.507,0.084,0.993,0.802,0.081,1.816,0.179,3.814,3.214,0.172,8.97,7.921,11.777,5.849,7.647,15.486,18.947,21.075,12.371,17.853
3675748227,106.717,0.5,0.083,0.963,0.804,0.083,2.107,0.178,4.109,3.641,0.181,8.973,7.613,11.716,5.817,7.953,16.027,20.091,20.587,13.406,19.477
3675748228,106.626,0.509,0.084,0.979,0.825,0.081,1.811,0.179,4.093,3.19,0.172,9.044,8.248,11.706,5.876,7.608,16.142,20.002,21.492,13.507,18.609
3675748229,106.908,0.511,0.082,0.955,0.807,0.083,1.839,0.175,3.629,3.395,0.176,9.199,7.475,11.612,5.863,7.777,16.879,19.92,20.357,13.83,18.414
3675748230,106.788,0.504,0.083,0.947,0.816,0.081,1.98,0.178,3.666,3.379,0.174,8.96,8.403,11.677,5.889,8.277,16.2,21.096,20.672,13.737,18.36
3675748231,106.945,0.5,0.083,0.958,0.805,0.082,1.787,0.18,3.5,3.234,0.18,9.175,7.167,11.632,5.773,7.836,15.758,17.053,20.175,12.278,20.052
3675748232,106.785,0.509,0.084,0.941,0.789,0.08,2.055,0.184,4.232,3.141,0.169,9.097,8.236,11.692,5.863,6.868,16.631,19.884,21.367,13.71,17.075
3675748233,106.78,0.501,0.082,1.01,0.804,0.082,1.944,0.176,3.792,3.232,0.172,9.083,6.772,11.719,5.902,8.011,16.196,16.387,20.484,13.707,19.055
3675748234,106.864,0.504,0.084,0.962,0.811,0.081,1.89,0.179,4.469,3.424,0.174,9.119,8.047,11.672,5.859,7.367,16.767,18.781,21.035,13.356,19.219
3675748235,107.081,0.513,0.083,0.989,0.796,0.083,1.887,0.174,4.065,3.327,0.176,9.181,7.941,11.777,5.913,8.375,16.073,19.003,20.515,13.59,19.177
3675748236,106.542,0.508,0.084,0.976,0.796,0.081,1.85,0.184,3.868,3.343,0.173,8.979,7.763,11.785,5.829,7.423,16.475,19.747,20.496,13.852,18.258
3675748237,106.992,0.507,0.082,0.941,0.784,0.082,1.967,0.172,3.48,3.366,0.175,9.262,8.193,11.677,5.839,8.571,17.861,18.177,21.303,13.375,20.143
3675748238,106.962,0.502,0.084,0.95,0.796,0.081,1.972,0.182,3.707,3.78,0.184,9.12,8.103,11.643,5.781,7.837,16.15,18.284,20.492,13.007,18.658
3675748239,106.919,0.495,0.082,0.973,0.825,0.082,1.928,0.181,4.157,3.204,0.169,9.01,8.059,11.701,5.84,7.882,15.88,19.796,21.275,14.245,19.54
3675748240,106.973,0.513,0.084,0.914,0.808,0.081,2.04,0.173,3.572,3.293,0.174,9.16,8.064,11.666,5.798,8.088,16.575,18.076,20.382,13.654,20.83
3675748241,106.942,0.503,0.082,0.94,0.796,0.082,2.043,0.178,3.714,3.443,0.184,9.053,8.09,11.694,5.967,8.519,15.842,17.804,20.157,13.572,20.573
3675748242,106.788,0.499,0.084,0.98,0.805,0.081,1.791,0.174,4.009,3.439,0.183,9.051,7.021,11.648,5.842,7.425,16.495,18.159,20.21,13.653,17.732
3675748243,106.677,0.491,0.082,0.963,0.81,0.082,2.086,0.172,4.326,3.478,0.172,8.995,7.751,11.65,5.737,8.577,15.55,17.078,20.146,12.036,20.217
3675748244,106.73,0.5,0.083,0.949,0.807,0.08,1.87,0.179,3.725,3.47,0.178,9.092,7.854,11.656,5.829,7.003,15.996,19.231,20.442,13.746,19.097
3675748245,106.627,0.495,0.082,0.962,0.8,0.083,1.743,0.173,4.144,3.506,0.17,9.063,7.541,11.705,5.848,8.699,15.9,19.488,20,12.31,20.033
3675748246,106.72,0.501,0.082,0.974,0.86,0.081,1.974,0.174,3.842,3.465,0.172,9.053,6.977,11.684,6.019,7.534,16.91,16.389,20.744,13.989,18.598
3675748247,106.703,0.496,0.082,0.955,0.767,0.081,1.811,0.184,3.924,3.483,0.17,9.218,8.03,11.674,5.804,8.077,16.062,19.385,20.59,12.184,18.236
3675748248,106.684,0.497,0.083,0.956,0.809,0.082,1.839,0.172,4.587,2.91,0.176,9.125,7.226,11.728,5.958,7.582,16.608,17.754,20.505,13.8,18.179
3675748249,106.929,0.503,0.082,0.959,0.803,0.082,1.996,0.172,3.807,3.283,0.179,9.152,8.03,11.609,5.78,7.98,17.83,19.874,20.121,12.605,19.092
3675748250,106.512,0.499,0.083,1.009,0.813,0.082,2.069,0.178,4.138,3.337,0.172,9.07,6.744,11.684,5.779,8.405,16.547,18.115,20.361,12.879,20.486
3675748251,106.697,0.509,0.084,0.959,0.812,0.081,2.543,0.184,3.765,3.636,0.172,9.035,8.502,11.716,5.777,8.229,16.514,20.799,21.007,12.243,19.502
3675748252,106.85,0.502,0.083,0.951,0.788,0.082,1.972,0.178,3.722,3.289,0.171,9.184,7.123,11.608,5.82,7.197,16.13,18.138,20.917,14.62,18.196
3675748253,107.067,0.514,0.083,0.98,0.811,0.08,2.106,0.178,4.158,3.275,0.177,9.402,7.862,11.63,5.875,7.902,16.298,18.012,20.344,12.929,19.193
3675748254,106.93,0.499,0.083,0.965,0.808,0.082,1.663,0.18,4.072,3.713,0.173,9.164,7.83,11.732,5.814,6.893,16.768,18.91,21.086,12.276,18.105
3675748255,106.681,0.5,0.082,0.957,0.802,0.081,2.002,0.176,3.593,3.718,0.174,9.116,7.398,11.652,5.751,7.901,15.805,18.412,21.255,12.109,20.73
3675748256,106.534,0.504,0.083,0.999,0.798,0.081,2.039,0.2,4.056,3.724,0.174,9.017,7.753,11.714,5.771,7.277,16.621,20.517,20.834,13.171,18.138
3675748257,106.716,0.513,0.083,0.998,0.801,0.081,1.918,0.177,4.029,3.765,0.177,9.114,8.246,11.757,5.883,8.156,16.674,17.657,20.409,12.657,18.714
3675748258,106.6,0.494,0.083,0.977,0.814,0.081,1.882,0.184,4.409,3.354,0.174,8.899,7.949,11.776,5.906,8.116,16.662,21.893,20.819,14.019,21.525
3675748259,106.637,0.505,0.083,0.99,0.803,0.081,2.032,0.177,3.769,3.489,0.171,9.178,7.853,11.562,5.773,7.934,16.547,19.677,20.855,13.28,19.736
3675748260,106.669,0.507,0.083,0.982,0.814,0.082,2.072,0.179,3.618,3.868,0.177,9.133,7.368,11.541,5.773,7.22,16.812,19.23,20.739,13.943,18.863
3675748261,106.476,0.503,0.081,0.974,0.808,0.08,2.121,0.177,4.882,3.632,0.179,8.976,7.895,11.611,5.782,7.704,16.422,16.978,20.147,13.177,16.725
3675748262,106.391,0.51,0.083,1.027,0.779,0.082,2.103,0.176,4.255,3.368,0.173,9.027,7.363,11.686,5.799,7.122,16.63,19.079,20.084,12.187,18.254
3675748263,106.897,0.527,0.084,0.971,0.808,0.081,2.006,0.177,4.04,3.393,0.182,9.463,8.606,11.595,5.896,8.453,16.913,19.096,20.999,14.075,19.828
3675748264,106.872,0.507,0.083,0.976,0.807,0.082,1.957,0.179,4.462,3.42,0.17,9.277,7.625,11.65,5.843,7.771,17.131,17.731,20.363,12.945,17.863
3675748265,106.997,0.504,0.083,0.977,0.804,0.08,1.83,0.176,4.192,3.27,0.172,9.072,7.77,11.7,5.944,7.414,17.22,19.769,20.105,14.88,17.61
3675748266,106.59,0.502,0.083,0.936,0.811,0.081,2.027,0.172,4.061,3.333,0.172,8.981,7.028,11.593,5.756,6.879,16.098,20.026,19.816,12.96,18.256
3675748267,106.19,0.505,0.082,0.972,0.805,0.081,1.775,0.171,4.104,3.378,0.177,9.029,7.978,11.624,5.943,8.44,16.031,17.526,21.056,13.569,19.181
3675748268,106.355,0.511,0.083,0.976,0.798,0.081,1.878,0.172,3.918,3.267,0.179,9.077,7.803,11.682,5.76,7.26,16.336,18.964,20.918,12.468,18.581
3675748269,106.486,0.51,0.083,1.009,0.809,0.082,2.25,0.178,4.145,3.496,0.183,8.921,7.515,11.727,5.844,8.643,16.893,17.715,20.567,12.915,19.404
3675748270,106.675,0.51,0.083,0.996,0.82,0.081,1.835,0.17,3.861,3.412,0.177,9.103,7.279,11.576,5.861,7.847,16.043,19.634,20.575,12.886,19.705
3675748271,106.719,0.509,0.083,0.948,0.801,0.081,2.079,0.183,3.875,3.083,0.18,9.045,8.522,11.697,5.886,7.573,17.233,18.663,20.838,13.096,19.827
3675748272,106.597,0.501,0.083,0.994,0.803,0.082,2.123,0.217,4.03,3.61,0.171,8.964,7.275,11.644,5.801,8.022,15.951,19.889,20.208,12.518,21.045
3675748273,106.574,0.508,0.083,0.998,0.811,0.08,1.868,0.172,4.078,3.993,0.168,9.037,8.306,11.781,5.863,7.489,16.378,19.555,22.125,12.975,20.967
3675748274,106.828,0.509,0.083,0.972,0.815,0.082,1.895,0.173,5.151,3.582,0.171,9.074,7.041,11.7,5.806,7.714,16.368,17.518,19.986,12.87,19.767
3675748275,106.884,0.51,0.083,0.943,0.784,0.08,1.887,0.176,3.557,3.429,0.174,9.27,7.72,11.574,5.784,7.596,16.324,17.598,20.49,13.885,18.433
3675748276,106.966,0.504,0.082,0.98,0.796,0.082,1.965,0.182,4.5,3.25,0.176,9.184,7.327,11.547,5.852,7.612,16.436,18.547,20.335,13.163,20.93
3675748277,106.51,0.508,0.084,1.017,0.802,0.081,1.793,0.185,3.692,3.242,0.173,8.955,8.762,11.599,5.769,7.909,16.465,20.991,19.891,14.005,18.97
3675748278,106.752,0.505,0.083,0.983,0.802,0.081,2.116,0.174,3.904,3.783,0.174,9.047,7.62,11.688,5.839,7.357,15.814,17.751,20.592,13.349,19.74
3675748279,106.693,0.495,0.084,0.991,0.797,0.081,1.834,0.178,4.195,3.199,0.172,9.042,8.476,11.607,5.775,7.784,16.269,19.08,19.46,12.977,18.441
3675748280,107.067,0.513,0.082,0.958,0.802,0.082,1.896,0.172,3.896,3.279,0.175,9.195,7.18,11.779,5.91,8.212,17.935,18.493,20.17,14.304,19.555
3675748281,107.06,0.51,0.083,0.992,0.801,0.08,1.917,0.173,4.129,3.462,0.184,9.152,8.096,11.636,5.869,6.966,16.988,18.535,20.686,13.366,17.212
3675748282,106.827,0.505,0.082,0.972,0.779,0.083,1.949,0.18,4.446,3.054,0.174,8.997,7.483,11.719,5.841,8.074,15.967,19.21,21.053,13.38,18.327
3675748283,106.708,0.511,0.085,0.98,0.799,0.081,1.856,0.215,3.914,3.339,0.175,9.075,8.782,11.666,5.818,7.538,16.548,19.706,20.387,13.463,17.599
3675748284,106.935,0.511,0.082,0.975,0.796,0.081,1.94,0.178,4.621,3.143,0.169,9.033,6.472,11.734,5.823,7.59,16.638,16.773,20.468,12.999,18.199
3675748285,106.639,0.505,0.084,0.997,0.81,0.081,1.822,0.172,3.925,3.246,0.181,9.106,7.554,11.621,5.913,6.856,17.547,18.267,20.569,13.585,17.303
3675748286,106.674,0.514,0.082,0.946,0.771,0.082,1.819,0.17,3.626,3.376,0.181,9.111,7.108,11.681,5.822,8.16,16.256,18.276,19.954,12.66,19.353
3675748287,106.666,0.501,0.083,0.935,0.806,0.08,1.812,0.177,3.704,2.883,0.169,8.952,8.567,11.736,5.839,7.069,15.843,17.936,20.229,12.779,17.784
3675748288,106.56,0.517,0.082,0.971,0.795,0.081,1.915,0.175,3.66,3.115,0.17,9.011,6.944,11.641,5.76,7.97,16.598,18.31,20.854,11.972,19.776
3675748289,106.416,0.512,0.083,0.951,0.813,0.08,1.942,0.175,3.607,3.293,0.172,9.09,7.414,11.707,5.846,6.661,16.059,17.58,20.347,13.67,16.018
3675748290,106.885,0.521,0.082,0.965,0.808,0.081,2.311,0.172,3.845,3.365,0.181,9.196,6.821,11.782,6,7.982,16.372,15.905,20.244,13.027,18.259
3675748291,106.156,0.519,0.084,0.966,0.773,0.081,1.977,0.174,4.049,3.852,0.177,8.692,8.076,11.726,5.851,6.896,15.701,19.11,20.446,12.782,17.875
3675748292,106.626,0.511,0.082,0.965,0.796,0.082,1.966,0.18,4.001,3.364,0.177,9.245,6.875,11.659,5.847,7.456,16.266,18.179,20.965,13.983,17.552
3675748293,106.647,0.523,0.084,0.946,0.774,0.082,2.199,0.199,3.689,2.935,0.172,9.236,7.714,11.871,5.918,7.608,16.98,18.28,21.247,13.234,20.287
3675748294,106.329,0.519,0.083,0.974,0.781,0.082,2.128,0.187,4.472,3.179,0.176,8.99,7.563,11.854,5.827,8.153,17.311,19.316,21.175,12.354,20.172
3675748295,106.388,0.536,0.083,0.96,0.788,0.082,1.923,0.176,4.292,3.176,0.176,9.108,7.798,11.742,5.884,7.273,17.048,19.513,21.116,13.29,16.62
3675748296,106.308,0.665,0.083,0.955,0.841,0.081,4.256,0.181,4.109,3.703,0.173,8.962,7.314,11.794,5.859,7.903,17.155,17.144,21.012,14.414,18.898
3675748297,107.58,0.986,0.083,1.091,0.923,0.082,5.731,0.18,5.101,4.084,0.182,9.023,8.108,12.096,6.047,6.951,18.716,19.702,21.796,14.365,17.869
3675748298,106.425,0.764,0.082,1.01,0.887,0.081,4.451,0.176,3.921,3.507,0.179,8.568,7.618,12.456,6.291,7.731,19.295,17.618,21.547,15.46,18.318
3675748299,106.925,0.946,0.084,1.026,0.918,0.081,5.589,0.178,4.084,3.608,0.179,8.713,8.501,12.13,6.304,7.069,19.136,21.62,22.45,15.62,18.922
3675748300,106.632,0.622,0.082,0.971,0.81,0.081,2.997,0.173,3.714,3.479,0.174,8.713,7.316,12.088,6.126,7.855,17.111,18.508,21.345,14.165,18.234
3675748301,106.624,0.769,0.083,0.996,0.849,0.082,4.555,0.177,3.913,3.283,0.176,8.564,8.152,12.004,6.203,6.989,18.042,19.86,21.501,14.557,17.863
3675748302,106.495,0.7,0.082,1.016,0.851,0.081,3.865,0.176,4.174,3.757,0.182,8.484,7.266,12.007,5.993,8.075,17.256,16.984,21.15,14.914,18.256
3675748303,106.642,0.716,0.084,0.988,0.814,0.082,3.943,0.176,4.601,3.084,0.175,8.532,7.88,11.819,5.888,7.959,17.634,19.349,20.407,12.942,19.419
3675748304,106.445,0.548,0.083,0.956,0.79,0.081,2.391,0.178,4.344,3.069,0.176,8.709,7.691,11.518,5.68,7.949,15.791,18.282,20.4,12.591,19.403
3675748305,106.784,0.514,0.084,0.949,0.775,0.082,2.105,0.169,4.064,2.987,0.173,9.285,7.756,11.513,5.755,7.18,17.946,18.344,20.56,11.668,19.518
3675748306,106.682,0.516,0.082,1.009,0.807,0.081,2.123,0.179,3.984,3.316,0.174,9.136,7.091,11.858,6.006,8.17,16.594,17.429,20.263,14.014,18.592
3675748307,106.668,0.517,0.084,0.952,0.797,0.082,2.056,0.186,3.63,3.211,0.178,9.082,8.559,11.794,5.878,7.838,15.906,20.282,20.741,12.872,19.497
3675748308,106.506,0.556,0.082,0.971,0.78,0.081,3.306,0.176,4.453,3.376,0.19,9.148,7.606,11.737,5.854,7.54,16.679,18.765,20.101,14.675,18.876
3675748309,106.658,0.711,0.083,1.009,0.85,0.081,4.014,0.175,4.215,4.15,0.176,8.742,7.336,11.886,5.934,6.922,17.643,18.663,21.865,14.121,20.427
3675748310,107.447,0.869,0.082,1.009,0.906,0.081,5.036,0.203,4.35,4.485,0.171,9.192,7.247,12.182,6.252,7.886,19.025,18.584,21.809,15.208,19.057
3675748311,106.666,0.638,0.084,0.989,0.816,0.081,2.665,0.178,3.755,3.587,0.17,8.645,7.373,12.396,6.058,7.023,17.013,19.998,21.612,13.156,18.973
3675748312,106.98,0.875,0.082,1.04,0.871,0.081,5.224,0.185,4.559,3.537,0.173,8.704,7.789,12.115,6.018,7.485,18.716,17.835,21.577,13.081,17.885
3675748313,106.119,0.568,0.083,0.987,0.826,0.082,2.517,0.179,4.007,3.813,0.177,8.405,7.817,12.272,6.057,7.653,16.715,18.52,21.805,14.233,18.045
3675748314,106.531,0.541,0.082,0.989,0.794,0.081,2.191,0.177,4.133,3.108,0.179,9.038,8.136,11.802,5.893,7.994,15.831,19.103,20.633,14.299,18.687
3675748315,106.849,0.53,0.083,0.982,0.799,0.082,1.946,0.176,3.9,3.31,0.172,9.194,7.27,11.474,5.752,7.108,16.442,18.508,20.421,12.591,18.089
3675748316,106.997,0.516,0.083,1.006,0.801,0.08,1.966,0.181,4.159,3.424,0.169,9.384,7.76,11.651,5.908,7.583,16.673,19.414,20.209,14.592,17.712
3675748317,106.54,0.523,0.083,1.036,0.792,0.082,2.128,0.176,3.972,3.895,0.18,9.079,7.422,11.905,5.881,7.991,16.048,16.775,20.948,12.458,18.789
3675748318,106.433,0.52,0.082,0.988,0.814,0.08,1.956,0.179,4.644,3.492,0.175,9.041,7.787,11.782,5.848,7.622,16.022,19.567,21.219,12.487,18.725
3675748319,106.791,0.643,0.084,1.03,0.86,0.082,3.285,0.184,4.231,3.366,0.178,9.059,7.499,11.772,6.039,7.671,17.246,17.613,22.106,15.74,19.005
3675748320,106.928,0.761,0.083,1.034,0.859,0.081,4.143,0.175,4.774,3.564,0.174,8.767,8.002,12,6.08,8.086,17.924,20.717,21.349,16.014,19.441
3675748321,107.171,0.744,0.084,1.047,0.847,0.082,4.391,0.18,4.551,4.064,0.173,8.618,7.932,12.204,6.081,7.422,18.225,19.485,22.107,14.714,19.768
3675748322,106.672,0.658,0.083,1.015,0.855,0.081,2.882,0.174,4.187,3.412,0.174,8.533,8.171,12.119,6.107,7.634,16.508,17.639,21.585,13.53,16.358
3675748323,106.557,0.54,0.084,0.967,0.803,0.083,1.864,0.18,3.955,3.733,0.181,8.726,6.882,11.856,5.838,8.329,17.065,18.003,21.862,13.36,20.49
3675748324,106.859,0.529,0.083,0.945,0.79,0.08,2.032,0.173,3.688,3.454,0.168,9.164,8.069,11.503,5.765,7.22,17.931,19.016,20.417,13.557,17.7
3675748325,107.028,0.512,0.084,0.973,0.785,0.082,1.9,0.182,4.018,3.234,0.175,9.331,7.454,11.501,5.827,8.545,16.704,18.174,20.504,13.01,20.241
3675748326,106.677,0.509,0.081,0.961,0.8,0.08,1.826,0.176,4.157,3.302,0.186,9.018,8.375,11.774,5.877,7.125,16.03,20.574,20.331,13.9,18.874
3675748327,106.797,0.508,0.084,0.99,0.819,0.081,1.969,0.179,3.826,3.457,0.173,9.008,7.462,11.732,5.849,7.607,16.571,19.049,20.19,13.124,20.011
3675748328,106.883,0.506,0.083,0.972,0.805,0.08,2.124,0.174,3.966,3.519,0.177,9.093,8.051,11.709,5.975,6.942,16.188,18.837,21.065,15.16,19.001
3675748329,106.803,0.5,0.083,1.017,0.796,0.082,1.925,0.176,4.72,3.16,0.177,9.059,7.74,11.802,5.98,7.711,17.033,20.647,20.549,14.504,17.959
3675748330,106.845,0.507,0.083,1.006,0.836,0.081,1.985,0.183,4.379,3.519,0.171,9.138,7.998,11.715,5.913,6.759,16.405,18.71,20.485,13.875,17.517
3675748331,106.772,0.511,0.083,0.981,0.807,0.082,1.955,0.171,4.666,3.245,0.174,9.207,7.476,11.692,5.843,8.328,18.041,19.895,20.628,12.535,18.76
3675748332,106.755,0.507,0.083,0.948,0.818,0.081,1.846,0.173,4.183,3.945,0.169,9.178,8.52,11.645,5.825,7.212,17.345,20.341,21.016,13.148,17.126
3675748333,106.744,0.506,0.083,1.013,0.801,0.081,1.993,0.174,4.152,3.136,0.178,9.182,7.416,11.719,5.852,7.713,16.406,18.199,20.889,12.1,17.531
3675748334,106.729,0.514,0.083,0.985,0.823,0.08,1.739,0.174,4.3,3.783,0.17,9.112,8.151,11.727,5.924,7.165,16.885,19.157,21.044,13.559,17.67
3675748335,106.494,0.518,0.083,1.015,0.805,0.082,1.827,0.179,3.817,3.333,0.175,9.109,7.404,11.779,6.084,8.473,16.186,19.12,20.723,14.348,19.398
3675748336,106.704,0.509,0.082,1.022,0.822,0.081,2.045,0.179,4.331,3.304,0.174,9.168,7.482,11.69,5.934,6.935,16.439,18.197,20.344,13.043,18.669
3675748337,106.68,0.513,0.084,0.988,0.811,0.082,1.781,0.178,3.925,3.973,0.171,9.083,7.342,11.823,6.013,7.866,17.866,19.144,21.105,14.239,18.154
3675748338,106.59,0.521,0.083,0.974,0.813,0.081,2.026,0.18,4.296,3.181,0.174,9.203,7.389,11.704,5.883,7.136,16.738,17.351,20.862,12.651,20.057
3675748339,106.843,0.508,0.083,0.962,0.792,0.08,1.836,0.179,3.821,3.082,0.177,9.275,8.114,11.639,5.813,8.471,17.652,20.318,19.993,12.627,20.419
3675748340,106.391,0.506,0.083,1.009,0.815,0.082,1.818,0.174,3.704,3.585,0.168,8.993,8.366,11.818,6.034,7.717,16.709,20.377,20.745,13.702,19.084
3675748341,106.578,0.521,0.083,0.93,0.808,0.08,1.898,0.176,3.82,3.152,0.167,9.177,7.199,11.636,5.836,7.485,16.807,19.133,20.367,13.71,19.38
3675748342,106.649,0.508,0.083,0.931,0.798,0.081,1.873,0.178,4.401,3.413,0.172,9.238,7.855,11.744,5.85,7.304,16.534,17.46,20.31,12.691,19.195
3675748343,106.437,0.503,0.083,0.961,0.79,0.081,2.264,0.182,3.651,3.242,0.172,9.024,7.682,11.859,5.834,7.827,16.313,19.419,20.339,12.323,20.957
3675748344,106.224,0.508,0.083,0.951,0.791,0.081,2.022,0.181,3.674,3.106,0.179,9.025,8.2,11.815,5.831,7.726,17.64,17.999,22.303,12.54,18.068
3675748345,106.837,0.578,0.083,0.958,0.792,0.081,2.666,0.178,3.938,3.374,0.171,8.958,7.394,11.7,5.886,7.983,16.961,18.14,20.414,12.489,19.367
3675748346,106.305,0.616,0.083,0.988,0.849,0.082,3.614,0.181,4.302,3.616,0.18,8.603,7.692,11.834,6.119,7.735,18.167,19.33,20.719,14.819,19.002
3675748347,107.409,0.926,0.082,1.094,0.922,0.08,5.242,0.186,4.659,4.195,0.173,9.111,7.41,11.906,6.218,7.921,23.628,20.391,21.413,15.816,18.126
3675748348,106.261,0.54,0.083,1.008,0.841,0.081,2.169,0.173,3.809,4.335,0.176,8.377,7.422,12.12,6.234,6.775,15.866,18.997,21.601,16.549,15.902
3675748349,106.304,0.585,0.081,1.018,0.846,0.08,2.407,0.175,4.385,4.32,0.177,8.606,6.723,11.902,5.928,8.104,16.772,17.496,21.174,13.024,18.774
3675748350,106.308,0.535,0.083,0.991,0.806,0.082,2.227,0.177,3.814,3.542,0.173,8.924,8.307,11.657,5.847,7.044,16.354,19.286,20.769,13.623,18.583
3675748351,106.803,0.513,0.083,0.964,0.794,0.081,1.978,0.187,3.829,3.355,0.168,9.266,7.671,11.641,5.814,7.253,16.569,19.032,20.494,12.796,19.298
3675748352,106.725,0.508,0.083,1.026,0.812,0.082,1.972,0.182,4.227,3.403,0.175,9.151,8.504,11.671,5.867,6.987,16.475,18.948,19.94,14.253,17.074
3675748353,106.663,0.518,0.082,1.011,0.789,0.081,1.884,0.176,4.415,3.475,0.178,9.198,6.845,11.749,5.885,7.933,16.423,17.437,20.351,14.765,18.009
3675748354,106.461,0.557,0.083,0.981,0.805,0.081,2.075,0.18,3.877,3.086,0.182,8.954,8.142,11.811,5.868,7.654,16.975,19.054,21.485,13.349,19.168
3675748355,106.283,0.633,0.082,0.996,0.851,0.081,2.953,0.173,4.602,3.329,0.173,8.542,7.384,12.009,6.019,7.833,17.045,19.068,22.414,14.6,17.658
3675748356,107.035,0.856,0.083,1.049,0.894,0.081,4.541,0.172,4.423,4.117,0.171,8.926,7.894,12.047,6.046,7.248,18.487,19.796,22.568,15.623,17.898
3675748357,106.208,0.522,0.082,0.944,0.81,0.082,2.514,0.168,3.817,3.254,0.177,8.501,7.216,12.087,5.95,8.004,16.073,16.403,21.285,12.964,18.424
3675748358,106.431,0.53,0.083,0.952,0.815,0.081,1.981,0.176,3.664,3.537,0.173,9.221,8.13,11.518,5.837,7.137,17.485,19.999,21.07,14.222,18.513
3675748359,106.826,0.517,0.082,0.964,0.806,0.081,2.025,0.173,4.065,3.638,0.176,9.29,6.801,11.606,5.781,7.914,16.382,17.638,20.34,12.097,20.734
3675748360,106.318,0.513,0.083,0.938,0.797,0.082,1.975,0.17,4.224,2.949,0.175,9.053,8.293,11.762,5.876,7.9,16.554,19.281,20.57,12.745,19.136
3675748361,106.408,0.536,0.082,0.951,0.822,0.081,2.263,0.18,4.845,3.511,0.183,8.901,7.369,11.766,5.829,7.896,16.6,19.062,20.072,12.545,18.453
3675748362,106.525,0.558,0.084,0.987,0.848,0.083,2.535,0.179,3.923,3.707,0.174,8.998,7.624,11.765,6.042,7.618,16.978,19.366,20.913,14.055,18.195
3675748363,106.771,0.528,0.083,0.997,0.807,0.081,1.952,0.175,4.182,3.455,0.173,8.936,7.731,11.684,5.83,7.96,16.615,18.076,21.506,13.211,18.494
3675748364,106.57,0.525,0.083,0.968,0.827,0.082,2.1,0.177,3.573,3.12,0.174,9.014,8.159,11.527,5.929,8.007,16.005,19.409,20.402,13.495,19.702
3675748365,106.785,0.514,0.082,0.986,0.801,0.081,1.914,0.176,4.364,3.245,0.176,9.2,7.785,11.606,5.846,7.683,16.351,17.972,21.013,12.772,17.951
